semilla;corte;ganancia;metrica;modelo
388163;10000;56,797;56,797;Variables Gustavo
388163;10500;56,357;56,357;Variables Gustavo
388163;11000;56,867;56,867;Variables Gustavo
388163;11500;57,417;57,417;Variables Gustavo
388163;12000;56,317;56,317;Variables Gustavo
388163;12500;55,947;55,947;Variables Gustavo
388163;13000;55,967;55,967;Variables Gustavo
959869;9000;55,767;55,767;Variables Gustavo
959869;9500;55,067;55,067;Variables Gustavo
959869;10000;54,747;54,747;Variables Gustavo
959869;10500;55,637;55,637;Variables Gustavo
959869;11000;57,067;57,067;Variables Gustavo
959869;11500;57,567;57,567;Variables Gustavo
959869;12000;58,057;58,057;Variables Gustavo
959869;12500;57,697;57,697;Variables Gustavo
959869;13000;57,387;57,387;Variables Gustavo
555391;9000;56,657;56,657;Variables Gustavo
555391;9500;56,757;56,757;Variables Gustavo
555391;10000;56,307;56,307;Variables Gustavo
555391;10500;56,477;56,477;Variables Gustavo
555391;11000;56,227;56,227;Variables Gustavo
555391;11500;56,447;56,447;Variables Gustavo
555391;12000;56,737;56,737;Variables Gustavo
555391;12500;55,617;55,617;Variables Gustavo
555391;13000;54,577;54,577;Variables Gustavo
151903;9000;58,847;58,847;Variables Gustavo
151903;9500;59,227;59,227;Variables Gustavo
151903;10000;58,547;58,547;Variables Gustavo
151903;10500;59,577;59,577;Variables Gustavo
151903;11000;58,517;58,517;Variables Gustavo
151903;11500;57,917;57,917;Variables Gustavo
151903;12000;57,727;57,727;Variables Gustavo
151903;12500;57,197;57,197;Variables Gustavo
151903;13000;56,467;56,467;Variables Gustavo
153287;9000;57,337;57,337;Variables Gustavo
153287;9500;57,487;57,487;Variables Gustavo
153287;10000;57,667;57,667;Variables Gustavo
153287;10500;58,147;58,147;Variables Gustavo
153287;11000;58,137;58,137;Variables Gustavo
153287;11500;57,287;57,287;Variables Gustavo
153287;12000;56,957;56,957;Variables Gustavo
153287;12500;56,357;56,357;Variables Gustavo
153287;13000;56,177;56,177;Variables Gustavo
471391;9000;55,897;55,897;Variables Gustavo
471391;9500;55,637;55,637;Variables Gustavo
471391;10000;54,687;54,687;Variables Gustavo
471391;10500;55,487;55,487;Variables Gustavo
471391;11000;55,467;55,467;Variables Gustavo
471391;11500;56,437;56,437;Variables Gustavo
471391;12000;55,687;55,687;Variables Gustavo
471391;12500;54,967;54,967;Variables Gustavo
471391;13000;55,057;55,057;Variables Gustavo
446969;9000;55,747;55,747;Variables Gustavo
446969;9500;55,117;55,117;Variables Gustavo
446969;10000;55,197;55,197;Variables Gustavo
446969;10500;55,737;55,737;Variables Gustavo
446969;11000;55,667;55,667;Variables Gustavo
446969;11500;55,627;55,627;Variables Gustavo
446969;12000;55,687;55,687;Variables Gustavo
446969;12500;55,977;55,977;Variables Gustavo
446969;13000;55,607;55,607;Variables Gustavo
319049;9000;56,667;56,667;Variables Gustavo
319049;9500;56,707;56,707;Variables Gustavo
319049;10000;57,277;57,277;Variables Gustavo
319049;10500;57,367;57,367;Variables Gustavo
319049;11000;56,597;56,597;Variables Gustavo
319049;11500;55,757;55,757;Variables Gustavo
319049;12000;57,217;57,217;Variables Gustavo
319049;12500;58,207;58,207;Variables Gustavo
319049;13000;58,287;58,287;Variables Gustavo
723791;9000;58,177;58,177;Variables Gustavo
723791;9500;58,157;58,157;Variables Gustavo
723791;10000;57,487;57,487;Variables Gustavo
723791;10500;58,697;58,697;Variables Gustavo
723791;11000;58,457;58,457;Variables Gustavo
723791;11500;58,477;58,477;Variables Gustavo
723791;12000;57,807;57,807;Variables Gustavo
723791;12500;56,897;56,897;Variables Gustavo
723791;13000;56,857;56,857;Variables Gustavo
282001;9000;55,797;55,797;Variables Gustavo
282001;9500;56,497;56,497;Variables Gustavo
282001;10000;55,467;55,467;Variables Gustavo
282001;10500;57,117;57,117;Variables Gustavo
282001;11000;56,887;56,887;Variables Gustavo
282001;11500;57,117;57,117;Variables Gustavo
282001;12000;56,467;56,467;Variables Gustavo
282001;12500;56,117;56,117;Variables Gustavo
282001;13000;55,947;55,947;Variables Gustavo
959597;9000;56,787;56,787;Variables Gustavo
959597;9500;56,107;56,107;Variables Gustavo
959597;10000;54,607;54,607;Variables Gustavo
959597;10500;55,217;55,217;Variables Gustavo
959597;11000;56,477;56,477;Variables Gustavo
959597;11500;56,827;56,827;Variables Gustavo
959597;12000;56,877;56,877;Variables Gustavo
959597;12500;57,357;57,357;Variables Gustavo
959597;13000;57,507;57,507;Variables Gustavo
223547;9000;56,137;56,137;Variables Gustavo
223547;9500;55,867;55,867;Variables Gustavo
223547;10000;55,347;55,347;Variables Gustavo
223547;10500;55,937;55,937;Variables Gustavo
223547;11000;55,567;55,567;Variables Gustavo
223547;11500;56,607;56,607;Variables Gustavo
223547;12000;57,267;57,267;Variables Gustavo
223547;12500;56,577;56,577;Variables Gustavo
223547;13000;55,537;55,537;Variables Gustavo
409823;9000;57,797;57,797;Variables Gustavo
409823;9500;57,137;57,137;Variables Gustavo
409823;10000;56,837;56,837;Variables Gustavo
409823;10500;57,227;57,227;Variables Gustavo
409823;11000;56,007;56,007;Variables Gustavo
409823;11500;54,437;54,437;Variables Gustavo
409823;12000;54,657;54,657;Variables Gustavo
409823;12500;53,987;53,987;Variables Gustavo
